City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
314,Neiafu,TO,-18.65,-173.9833,81.28,89,75,4.61,light intensity shower rain
315,Yulara,AU,-25.2406,130.9889,80.44,26,88,14.97,overcast clouds
316,Gigmoto,PH,13.7796,124.39,78.17,90,100,10.45,heavy intensity rain
317,Lufilufi,WS,-13.8745,-171.5986,83.98,73,100,8.99,light rain
318,Burns Lake,CA,54.2331,-125.7533,18.82,98,100,4.68,overcast clouds
319,Leh,IN,34.1667,77.5833,8.89,94,100,1.43,overcast clouds
320,Bambous Virieux,MU,-20.3428,57.7575,81.21,94,75,20.71,light rain
321,Namibe,AO,-15.1961,12.1522,70.29,78,14,4.85,few clouds
322,Mar Del Plata,AR,-38.0023,-57.5575,69.1,94,95,0.0,fog
323,Mahebourg,MU,-20.4081,57.7,81.25,94,75,20.71,broken clouds
324,Xai-Xai,MZ,-25.0519,33.6442,75.72,85,0,3.44,clear sky
325,Cabedelo,BR,-6.9811,-34.8339,79.47,76,99,12.64,overcast clouds
326,Pozo Colorado,PY,-23.4923,-58.7972,81.88,66,57,7.76,moderate rain
327,Aitape,PG,-3.1374,142.3475,85.24,65,44,7.23,scattered clouds
328,Chuy,UY,-33.6971,-53.4616,70.92,95,100,6.29,light rain
329,Viedma,AR,-40.8135,-62.9967,69.33,55,31,6.91,scattered clouds
330,Iesolo,IT,45.5331,12.6448,42.1,92,85,11.03,overcast clouds
331,Aksu,CN,41.1231,80.2644,29.26,44,100,3.15,overcast clouds
332,Dongying,CN,37.4564,118.4856,32.52,25,12,12.37,few clouds
333,Berdigestyakh,RU,62.0989,126.6992,-14.37,94,100,6.11,overcast clouds
334,Manzhouli,CN,49.6,117.4333,-3.68,78,10,8.23,clear sky
335,Turukhansk,RU,65.8167,87.9833,7.43,95,99,12.24,light snow
336,Paamiut,GL,61.994,-49.6678,22.66,72,100,35.05,overcast clouds
337,Zaranj,AF,30.9667,61.8833,30.16,36,0,3.71,clear sky
338,Hualmay,PE,-11.0964,-77.6139,70.32,83,86,8.23,overcast clouds
339,Balkhash,KZ,46.844,74.9804,3.81,72,0,15.66,clear sky
340,Cururupu,BR,-1.8283,-44.8683,75.0,92,96,3.58,overcast clouds
341,Port Said,EG,31.2565,32.2841,53.58,65,55,24.11,broken clouds
342,Abnub,EG,27.2696,31.1511,50.16,54,3,13.09,clear sky
343,Suez,EG,29.9737,32.5263,51.31,56,35,18.39,scattered clouds
344,Sinnamary,GF,5.3833,-52.95,76.26,90,99,10.38,heavy intensity rain
345,Verkhnyaya Inta,RU,65.9811,60.3094,14.22,96,100,5.5,overcast clouds
346,Oum Hadjer,TD,13.2954,19.6966,59.95,20,5,12.28,clear sky
347,Great Yarmouth,GB,52.6083,1.7305,48.22,79,100,21.9,overcast clouds
348,Noshiro,JP,40.2039,140.0242,31.14,65,100,19.19,light snow
349,Beisfjord,NO,68.3751,17.5988,23.05,84,100,13.91,overcast clouds
350,Namtsy,RU,62.7161,129.6658,-18.29,90,99,6.15,overcast clouds
351,Kalmar,SE,56.6616,16.3616,38.97,99,100,4.61,overcast clouds
352,Uyuni,BO,-20.4597,-66.825,50.45,47,19,10.96,few clouds
353,Ust-Nera,RU,64.5667,143.2,-8.57,96,93,3.96,overcast clouds
354,Mchinji,MW,-13.7984,32.8802,63.61,95,100,2.39,overcast clouds
355,Holovyne,UA,50.4712,28.8253,10.98,99,66,5.39,broken clouds
356,Hokitika,NZ,-42.7167,170.9667,63.68,98,100,9.06,moderate rain
357,Gizo,SB,-8.103,156.8419,82.33,75,100,9.15,overcast clouds
358,Burnie,AU,-41.0667,145.9167,65.95,56,2,9.89,clear sky
359,Kropotkin,RU,45.4375,40.5756,37.49,99,100,7.2,overcast clouds
360,Asosa,ET,10.0667,34.5333,66.9,27,39,6.42,scattered clouds
361,Teguise,ES,29.0605,-13.564,64.62,68,0,5.75,clear sky
362,Mbanza-Ngungu,CD,-5.25,14.8667,65.46,98,100,3.2,light rain
363,Ryotsu,JP,38.0833,138.4333,35.56,69,100,5.73,overcast clouds
364,Onega,RU,63.9061,38.1404,-3.42,100,98,1.43,overcast clouds
365,Bokoro,TD,12.3807,17.0568,60.96,19,25,11.23,scattered clouds
366,Lazaro Cardenas,MX,17.9583,-102.2,70.99,78,0,4.45,clear sky
367,Tudela,ES,42.0617,-1.6045,42.67,77,93,5.93,overcast clouds
368,Huarmey,PE,-10.0681,-78.1522,71.29,82,24,7.81,few clouds
369,Blagoveshchensk,RU,50.2667,127.5333,3.81,47,0,11.18,clear sky
370,Balod,IN,20.73,81.2047,73.67,58,1,12.91,clear sky
371,Shaunavon,CA,49.6501,-108.4181,-2.42,99,100,5.21,overcast clouds
372,Port Maria,JM,18.3685,-76.8895,78.76,96,17,8.72,few clouds
373,Stephenville,US,32.2207,-98.2023,18.25,82,75,0.0,broken clouds
